Pos Min	Sh	G	KP	A	xG  xA  Efficiency 
FWL 90	3	0	1	0	0.60    0.10    9
FWL 90	2	0	1	0	0.14    0.03    8
FWL	90	2	1	1	0	0.64	0.43    7
FWL	90	5	2	3	0	1.74	0.25    6
FW	85	0	0	0	0	0.00	0.00    5
FW	79	4	2	0	0	0.96	0.00    4
FWL	90	0	0	0	0	0.00	0.00    3
FWL	89	3	1	1	0	0.58	0.12    2
FWL	90	2	1	0	0	0.64	0.00    1
AML	90	3	1	2	0	0.18	0.10    0.5 
MC	90	2	1	6	0	0.07	1.24    9
MC	76	4	0	3	0	0.22	0.75    8
MC	90	3	0	5	0	0.14	0.84    7
MC	70	2	0	1	0	0.14	0.41    6
MC  90	5	0	0	0	0.34	0.00    5
MC	66	0	0	2	0	0.00	0.15    4
MC	90	1	0	4	0	0.02	0.40    3
AMR	90	6	1	5	1	0.44	0.75    9
MC	90	2	0	5	1	0.10	0.75    8
MC	90	3	0	4	0	0.09	0.47    7
AMC	90	3	0	0	0	0.56	0.00    6
AMC	90	1	0	0	0	0.02	0.00    5
MC	90	3	0	2	0	0.14	0.08    4
AMC	90	2	1	2	1	0.08	0.45    3
AMC	90	3	0	6	0	1.21	0.48    2
MC	90	3	0	0	0	0.12	0.00    1
MC	90	3	0	1	1	0.09	0.41    0.5
FW	74	1	1	0	0	0.51	0.00    9
FW	90	1	0	1	0	0.08	0.03    8
FW	83	0	0	1	1	0.00	0.58    7
FW	54	2	1	1	1	0.45	0.42    6
FW	69	1	0	1	0	0.06	0.28    5
FW	68	1	0	0	0	0.05	0.00    4
FW	70	3	0	1	0	0.14	0.49    3
FW	80	1	0	1	0	0.29	0.01    2
FW  90	2	0	3	1	0.07	0.60    1
FW	90	4	3	1	0	1.73	0.11    0.5
FW	90	1	0	0	0	0.01	0.00    9
FW	90	2	1	2	0	0.67	0.17    8
FW	89	5	0	1	1	0.32	0.02    7
FW	57	2	0	1	1	0.90	0.81    6
FW	90	5	1	0	0	1.59	0.00    5
FW	90	2	1	0	0	0.76	0.00    4
FW	90	0	0	1	0	0.00	0.03    3
FW	90	3	1	2	0	0.28	0.45    2
FW	70	3	1	1	0	0.14	0.41    1
FW	90	5	0	3	1	0.48	0.70    9
FW	90	2	1	3	0	0.41	0.22    8
FW	73	2	0	1	1	0.23	0.53    7
FW	90	3	2	0	0	1.59	0.00    6
FW	90	3	0	4	1	0.53	0.96    5
FW	76	1	0	1	0	0.07	0.06    4
FW	90	2	1	2	0	0.49	0.03    9
FW	90	3	0	2	0	0.16	0.11    8
FW	90	1	1	1	1	0.41	0.30    7
FW	74	1	0	1	0	0.02	0.08    6
FW	90	5	2	2	1	1.15	0.12    5
FW	90	1	0	1	0	0.02	0.70    4
FW	90	2	0	0	0	0.13	0.00    3
FW	90	2	0	2	0	0.14	0.10    2
FW	90	2	0	4	0	0.48	0.49    1
AMC	90	1	0	4	0	0.02	0.18    9
AMC	90	0	0	0	0	0.00	0.00    8
AMC	90	2	1	0	0	0.11	0.00    7
AMC	90	1	1	2	0	0.08	0.26    6
MC	90	2	0	0	0	0.10	0.00    4
MC	90	1	0	3	0	0.03	0.09    3
DMR	90	1	0	1	0	0.06	0.10    2
MC	90	1	1	1	0	0.37	0.01    1
MC	90	3	1	4	0	0.19	0.47    0.5
AMC	90	1	0	0	0	0.01	0.00    9
FW	90	2	0	1	1	0.12	0.37    8
AMC	90	1	0	2	0	0.02	0.05    6
AMC	90	5	0	2	0	0.17	0.11    5
FW	90	1	0	2	0	0.29	0.10    4
FW	90	2	0	0	0	0.16	0.00    3
FW	89	1	1	3	0	0.04	0.16    2
FW	90	1	0	1	0	0.01	0.02    1
FW	89	2	0	0	0	0.26	0.00    0.5
FWL	89	5	0	4	0	0.34	0.40    9
FWL	66	5	3	1	0	1.34	0.05    8
FWL	90	3	0	1	0	0.22	0.12    7
FWL	90	2	2	2	0	1.03	0.56    6
FWL	90	3	0	5	2	0.11	2.02    5
FWR	90	0	0	0	0	0.00	0.00    4
FWR	90	1	1	1	0	0.64	0.12    3
FWR	90	3	0	3	0	0.69	0.27    2
FW	58	2	1	3	1	0.29	0.28    9
FW	81	3	0	0	0	0.45	0.00    8
FW	90	5	0	1	0	0.34	0.02    7
FW	86	3	1	2	0	0.89	0.10    6
FW	67	6	3	0	0	2.22	0.00    5
FW	82	2	0	0	0	0.18	0.00    4
FW	83	4	3	0	0	2.19	0.00    3
FW	90	4	1	0	0	0.57	0.00    2
FW	90	1	0	1	1	0.12	0.30    1
AMC	90	4	1	2	0	0.19	0.13    9   
FW	80	1	0	0	0	0.02	0.00    8
AML	81	1	0	0	0	0.05	0.00    7
FW	88	1	0	3	0	0.02	0.09    6
FW	90	4	1	1	0	0.42	0.13    5
AML	90	5	1	1	0	0.19	0.62    4
FW	90	5	1	0	0	0.20	0.00    3
FW	90	2	0	2	0	0.05	0.38    2
FW	82	1	0	1	1	0.07	0.05    9
FW	90	4	1	3	1	0.89	0.14    8
FW	90	5	0	0	0	0.70	0.00    7
MC	90	3	0	2	1	0.05	0.49    9
MC	90	1	0	1	0	0.07	0.09    7
MC	90	2	0	1	0	0.06	0.09    6
MC	90	1	0	0	0	0.03	0.00    5
MC	90	1	0	3	0	0.01	0.09    4
MC	90	2	0	2	0	0.03	0.11    3
MC	85	3	0	1	0	0.34	0.02    2
MC	90	0	0	1	0	0.00	0.12    1
MC	88	3	1	0	0	0.09	0.00    0.5
